Название;Цена;"Ссылка на страницу товара";"Ссылка на картинку товара";"Категория товара"
"Cam Microair";190;http://127.0.0.1/product/cam-microair;http://127.0.0.1/assets/images/catalog/big/Progulochnaya_kolyaska_Cam_Microair_cvet_50.jpg;Коляски
"Cam Portofino";190;http://127.0.0.1/product/cam-portofino;http://127.0.0.1/assets/images/catalog/big/Progulochnaya_kolyaska_Cam_Portofino_cvet_29.jpg;Коляски
"Cam Pretty Cross";185;http://127.0.0.1/product/cam-pretty-cross;http://127.0.0.1/assets/images/catalog/big/progulochnaya_kolyaska_cam_pretty_cross_cvet_140.jpeg;Коляски
"Cam Flip";152;http://127.0.0.1/product/cam-flip;http://127.0.0.1/assets/images/catalog/big/Progulochnaya_kolyaska_Cam_Flip_cvet_32.jpg;Коляски
"Cam Dinamico (3 в 1)";880;http://127.0.0.1/product/cam-dinamico;http://127.0.0.1/assets/images/catalog/big/universalnaya_kolyaska_cam_dinamico__3_v_1__cvet_175.jpeg;Коляски
"Cam Elegant Family (3 в 1)";700;http://127.0.0.1/product/cam-elegant-family;http://127.0.0.1/assets/images/catalog/big/universalnaya_kolyaska_cam_elegant_family__3_v_1__cvet_137.jpeg;Коляски
"Cam Cortina Evolution X3 Tris Activ (3 в 1)";929;http://127.0.0.1/product/cam-cortina-evolution-x3-tris;http://127.0.0.1/assets/images/catalog/big/progulochnaya_kolyaska_cam_cortina_evolution_x3_tris_activ__3_v_1__cvet_176.jpeg;Коляски
"Cam Cortina Evolution X3 Tris Special (3 в 1)";955;http://127.0.0.1/product/cam-cortina-evolution-x3-tris-special;http://127.0.0.1/assets/images/catalog/big/progulochnaya_kolyaska_cam_cortina_evolution_x3_tris_special__3_v_1__cvet_400.jpeg;Коляски
"Cam Area Zero+";150;http://127.0.0.1/product/cam-area-zero;http://127.0.0.1/assets/images/catalog/big/detskoe_avtokreslo_cam_area_zero__cvet_176.jpeg;Автокресла
"Cam Viaggiosicuro Isofix";285;http://127.0.0.1/product/cam-viaggio-sicuro-fix;http://127.0.0.1/assets/images/catalog/big/detskoe_avtokreslo_cam_viaggiosicuro_isofix_cvet_211.jpeg;Автокресла
"Cam Gara 0.1";156;http://127.0.0.1/product/cam-gara;http://127.0.0.1/assets/images/catalog/big/detskoe_avtokreslo_cam_gara_0.1_cvet_153.jpeg;Автокресла
"Cam Cushion";87;http://127.0.0.1/product/cam-cushion;http://127.0.0.1/assets/images/catalog/big/detskoe_avtokreslo_cam_cushion_cvet_siniy_v_kletku.jpeg;Автокресла
"Cam Pony Baby";40;http://127.0.0.1/product/cam-pony-baby;http://127.0.0.1/assets/images/catalog/big/detskoe_avtokreslo_cam_pony_baby_cvet_krasnyy_s_chernym.jpeg;Автокресла
"Cam Travel Evolution";170;http://127.0.0.1/product/cam-travel-evolution;http://127.0.0.1/assets/images/catalog/big/detskoe_avtokreslo_cam_travel_evolution_cvet_211.jpeg;Автокресла
"Cam America";190;http://127.0.0.1/product/cam-america;http://127.0.0.1/assets/images/catalog/big/detskiy_manezh_sam_america_cvet_cvet_198.jpeg;Манежи
"Cam Campione";205;http://127.0.0.1/product/cam-campione;http://127.0.0.1/assets/images/catalog/big/_detskiy_stulchik_cam_campione_cvet_cvet_198.jpeg;Стульчики
"Cam Mini Plus";123;http://127.0.0.1/product/cam-mini-plus;http://127.0.0.1/assets/images/catalog/big/Stul_dlya_kormleniya_Cam_Mini_Plus_cvet_198.jpg;Стульчики
"Cam I-dea";110;http://127.0.0.1/product/cam-i-dea;http://127.0.0.1/assets/images/catalog/big/stul_dlya_kormleniya_cam_i-dea_cvet_cvet_218.jpeg;Стульчики
"Cam Smarty";82;http://127.0.0.1/product/cam-smarty;http://127.0.0.1/assets/images/catalog/big/Stul_dlya_kormleniya_Cam_Smarty_cvet__2.jpg;Стульчики
"Cam Baby Block";60;http://127.0.0.1/product/cam-baby-block;http://127.0.0.1/assets/images/catalog/big/Pelenalnyy_matras_Cam_Baby_Block_cvet_.jpg;"Для пеленания"
"Cam Baby Bagno";52;http://127.0.0.1/product/cam-baby-bagno;http://127.0.0.1/assets/images/catalog/big/vanna_dlya_kupaniya_cam_baby_bagno_cvet_u22.jpeg;Разное
"Cam Bollicina";40;http://127.0.0.1/product/cam-bollicina;http://127.0.0.1/assets/images/catalog/big/vanna_dlya_kupaniya_cam_bollicina_cvet_u32.jpeg;Разное
