Название;Цена;"Ссылка на страницу товара";"Ссылка на картинку товара";Примечание;"Категория товара";Наличие
"Прогулочная коляска Cam Microair 50";190;http://127.0.0.1/product/cam-microair;http://127.0.0.1/assets/images/catalog/big/Progulochnaya_kolyaska_Cam_Microair_cvet_50.jpg;;Коляски;склад
"Прогулочная коляска Cam Microair 33";190;http://127.0.0.1/product/cam-microair;http://127.0.0.1/assets/images/catalog/big/Progulochnaya_kolyaska_Cam_Microair_cvet_33.jpg;;Коляски;склад
"Прогулочная коляска Cam Microair 46";190;http://127.0.0.1/product/cam-microair;http://127.0.0.1/assets/images/catalog/big/Progulochnaya_kolyaska_Cam_Microair_cvet_46.jpg;;Коляски;склад
"Прогулочная коляска Cam Microair 32";190;http://127.0.0.1/product/cam-microair;http://127.0.0.1/assets/images/catalog/big/Progulochnaya_kolyaska_Cam_Microair_cvet_32.jpg;;Коляски;склад
"Прогулочная коляска Cam Microair 34";190;http://127.0.0.1/product/cam-microair;http://127.0.0.1/assets/images/catalog/big/Progulochnaya_kolyaska_Cam_Microair_cvet_34.jpg;;Коляски;склад
"Прогулочная коляска Cam Portofino 29";190;http://127.0.0.1/product/cam-portofino;http://127.0.0.1/assets/images/catalog/big/Progulochnaya_kolyaska_Cam_Portofino_cvet_29.jpg;;Коляски;склад
"Прогулочная коляска Cam Portofino 32";190;http://127.0.0.1/product/cam-portofino;http://127.0.0.1/assets/images/catalog/big/Progulochnaya_kolyaska_Cam_Portofino_cvet_32.jpg;;Коляски;склад
"Прогулочная коляска Cam Portofino 27";190;http://127.0.0.1/product/cam-portofino;http://127.0.0.1/assets/images/catalog/big/Progulochnaya_kolyaska_Cam_Portofino_cvet_27.jpg;;Коляски;склад
"Прогулочная коляска Cam Portofino 98 (2013)";190;http://127.0.0.1/product/cam-portofino;http://127.0.0.1/assets/images/catalog/big/progulochnaya_kolyaska_cam_portofino_cvet_98.jpeg;;Коляски;склад
"Прогулочная коляска Cam Portofino 28";190;http://127.0.0.1/product/cam-portofino;http://127.0.0.1/assets/images/catalog/big/Progulochnaya_kolyaska_Cam_Portofino_cvet_28.jpg;;Коляски;склад
"Прогулочная коляска Cam Portofino 33";190;http://127.0.0.1/product/cam-portofino;http://127.0.0.1/assets/images/catalog/big/Progulochnaya_kolyaska_Cam_Portofino_cvet_33.jpg;;Коляски;склад
