Бренд;Название;"Цена в у.е.";"Цена в бел.руб."
Cam;Microair;190;2023500
Cam;Portofino;190;2023500
Cam;"Pretty Cross";185;1970250
Cam;Flip;152;1618800
Cam;"Dinamico (3 в 1)";880;9372000
Cam;"Elegant Family (3 в 1)";700;7455000
Cam;"Cortina Evolution X3 Tris Activ (3 в 1)";929;9893850
Cam;"Cortina Evolution X3 Tris Special (3 в 1)";955;10170750
Cam;"Area Zero+";150;1597500
Cam;"Viaggiosicuro Isofix";285;3035250
Cam;"Gara 0.1";156;1661400
Cam;Cushion;87;926550
Cam;"Pony Baby";40;426000
Cam;"Travel Evolution";170;1810500
Cam;America;190;2023500
Cam;Campione;205;2183250
Cam;"Mini Plus";123;1309950
Cam;I-dea;110;1171500
Cam;Smarty;82;873300
Cam;"Baby Block";60;639000
Cam;"Baby Bagno";52;553800
Cam;Bollicina;40;426000
Cam;"Combi Family (3 в 1)";631;6720150
Cam;"Pulsar (3 в 1)";969;10319850
Cam;Brevettato;163;1735950
Cam;Lusso;100;1065000
Cam;"Daily Plus";176;1874400
Cam;Bubu;90;958500
Cam;Nannarock;150;1597500
Cam;Giocam;130;1384500
Cam;Gironanna;220;2343000
Cam;"Stand Universale";59;628350
Cam;Volare;140;1491000
Cam;Asia;320;3408000
Cam;Upper;36;383400
Cam;Dudu;40;426000
Chicco;"Trio Activ3 (3 в 1)";1040;11076000
Chicco;"Trio Living Smart (3 в 1)";820;8733000
Chicco;"Enjoy Fun (3 в 1)";520;5538000
Chicco;"Polly 2 в 1";155;1642000
Chicco;"Polly Magic";195;2071000
Chicco;"Key 1 IsoFix";350;3727500
Chicco;"Xpace IsoFix";356;3791400
Chicco;Eletta;220;2343000
Chicco;Neptune;187;1991550
Chicco;Lullaby;240;2556000
Chicco;Spring;112;1192800
Chicco;"Band Baby Walker";117;1246050
Chicco;"Детские качели Polly Swing";190;2023500
Chicco;DJ;115;1224750
Chicco;"Soft and Dream";95;1011750
Peg-Perego;"Aria Twin";370;3940500
Peg-Perego;"Duette Pop-Up";900;9585000
Peg-Perego;"Culla Auto";690;7348500
Peg-Perego;Young;630;6709500
Peg-Perego;"GT3 Modular System (3 в 1)";1080;11502000
Peg-Perego;"Pliko P3 Compact Completo (3 в 1)";950;10117500
Peg-Perego;"Switch Four Completo Modular (3 в 1)";990;10543500
Peg-Perego;"Pliko Switch Easy Drive Modular (3 в 1)";995;10596750
Peg-Perego;Aria;250;2662500
Peg-Perego;"Zero 3";185;1970250
Peg-Perego;"Prima Pappa Diner";215;2289750
Peg-Perego;"Prima Pappa Best";280;2982000
Peg-Perego;Tatamia;400;4260000
Peg-Perego;Siesta;300;3195000
Peg-Perego;"Primo Viaggio SL";235;2502750
Peg-Perego;"Viaggio1 Duo-Fix";310;3301500
Peg-Perego;"Viaggio 0+/1 Switchable";292;3109800
